2026-02-07 19:54:19,286 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-07 19:54:19,287 | INFO | apscheduler.scheduler | Added job "fetch_and_process" to job store "default"
2026-02-07 19:54:19,288 | INFO | apscheduler.scheduler | Scheduler started
2026-02-07 19:54:19,318 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-02-07 19:54:19,324 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-02-07 19:54:19,356 | INFO | werkzeug |  * Restarting with watchdog (windowsapi)
2026-02-07 19:54:20,948 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-07 19:54:20,951 | INFO | apscheduler.scheduler | Added job "fetch_and_process" to job store "default"
2026-02-07 19:54:20,952 | INFO | apscheduler.scheduler | Scheduler started
2026-02-07 19:54:20,963 | WARNING | werkzeug |  * Debugger is active!
2026-02-07 19:54:20,985 | INFO | werkzeug |  * Debugger PIN: 169-022-151
2026-02-07 19:59:19,291 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 19:59:19 IST)" (scheduled at 2026-02-07 19:59:19.286759+05:30)
2026-02-07 19:59:19,293 | INFO | email_visibility | Scheduler cycle started
2026-02-07 19:59:20,961 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 19:59:20 IST)" (scheduled at 2026-02-07 19:59:20.947766+05:30)
2026-02-07 19:59:20,962 | INFO | email_visibility | Scheduler cycle started
2026-02-07 19:59:22,003 | INFO | email_visibility | Fetched 0 emails
2026-02-07 19:59:22,036 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 19:59:22,038 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:04:19 IST)" executed successfully
2026-02-07 19:59:25,486 | INFO | email_visibility | Fetched 0 emails
2026-02-07 19:59:25,504 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 19:59:25,504 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:04:20 IST)" executed successfully
2026-02-07 20:39:20,026 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:39:20] "POST /email/ingest HTTP/1.1" 200 -
2026-02-07 20:39:31,812 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:39:31] "GET /email/test HTTP/1.1" 200 -
2026-02-07 20:43:25,450 | WARNING | apscheduler.executors.default | Run time of job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:44:19 IST)" was missed by 0:04:06.163759
2026-02-07 20:43:27,112 | WARNING | apscheduler.executors.default | Run time of job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:44:20 IST)" was missed by 0:04:06.164659
2026-02-07 20:44:19,291 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:49:19 IST)" (scheduled at 2026-02-07 20:44:19.286759+05:30)
2026-02-07 20:44:19,295 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:44:20,961 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:49:20 IST)" (scheduled at 2026-02-07 20:44:20.947766+05:30)
2026-02-07 20:44:20,962 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:44:22,508 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:44:22,549 | INFO | email_visibility | Processing email_id=1, attempt=1
2026-02-07 20:44:22,581 | INFO | email_visibility | Email 1 processed successfully
2026-02-07 20:44:22,583 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:44:22,584 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:49:19 IST)" executed successfully
2026-02-07 20:44:23,363 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:44:23,368 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:44:23,369 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:49:20 IST)" executed successfully
2026-02-07 20:46:29,729 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:46:29] "POST /email/ingest HTTP/1.1" 200 -
2026-02-07 20:49:19,304 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:54:19 IST)" (scheduled at 2026-02-07 20:49:19.286759+05:30)
2026-02-07 20:49:19,307 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:49:20,955 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:54:20 IST)" (scheduled at 2026-02-07 20:49:20.947766+05:30)
2026-02-07 20:49:20,959 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:49:22,183 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:49:22,238 | INFO | email_visibility | Processing email_id=2, attempt=1
2026-02-07 20:49:22,271 | INFO | email_visibility | Email 2 processed successfully
2026-02-07 20:49:22,273 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:49:22,275 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:54:19 IST)" executed successfully
2026-02-07 20:49:23,650 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:49:23,654 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:49:23,655 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:54:20 IST)" executed successfully
2026-02-07 20:54:19,300 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:19 IST)" (scheduled at 2026-02-07 20:54:19.286759+05:30)
2026-02-07 20:54:19,304 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:54:20,960 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:20 IST)" (scheduled at 2026-02-07 20:54:20.947766+05:30)
2026-02-07 20:54:20,963 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:54:22,193 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:54:22,197 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:54:22,198 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:19 IST)" executed successfully
2026-02-07 20:54:23,246 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:54:23,251 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:54:23,252 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:20 IST)" executed successfully
2026-02-07 20:55:03,129 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:55:03] "[31m[1mGET /email/process HTTP/1.1[0m" 405 -
2026-02-07 20:55:39,973 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:55:39] "GET /hr/updates HTTP/1.1" 200 -
2026-02-07 20:56:00,630 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:56:00] "GET /hr/risk HTTP/1.1" 200 -
2026-02-07 20:56:36,768 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:56:36] "GET /integration/platform/snapshot HTTP/1.1" 200 -
2026-02-07 20:59:19,303 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:19 IST)" (scheduled at 2026-02-07 20:59:19.286759+05:30)
2026-02-07 20:59:19,304 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:59:20,962 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:20 IST)" (scheduled at 2026-02-07 20:59:20.947766+05:30)
2026-02-07 20:59:20,964 | INFO | email_visibility | Scheduler cycle started
